Semester,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,MALE,12,2.333,129,-0.805,8,Wed,Introductory,2017,0,3,0,1,0,0,1,0
Fall,MALE,17,3.647,123,0.36,9,Wed,Introductory,2019,0,13,1,1,0,0,1,0
Fall,MALE,15,3.066,122,-0.04,9,Wed,Introductory,2020,0,1,1,1,0,0,1,0
Fall,MALE,12,4,134,0.782,9,Wed,Advanced,2017,0,11,0,0,0,0,1,0
Fall,FEMALE,16,3.307,130,0.643,9,Wed,Intermediate,2020,0,11,1,0,1,0,1,0
Fall,FEMALE,19,3.25,141,-0.397,10,Wed,Intermediate,2018,0,6,0,0,0,0,1,0
Fall,MALE,14,0,8,-1.437,11,Wed,Introductory,2017,1,26,0,1,0,0,1,0
Fall,MALE,12,3,69,0.32,12,Wed,Introductory,2019,0,8,1,1,0,0,1,0
Fall,FEMALE,12,1,79,-1.535,13,Wed,Introductory,2018,0,9,1,1,0,0,1,0
Fall,MALE,12,2.25,136,-0.47,13,Wed,Introductory,2020,0,44,1,1,0,0,1,0
Fall,MALE,18,3.666,159,-0.07,13,Wed,Introductory,2019,0,70,1,1,0,0,1,0
Fall,MALE,12,3.166,33,1.36,12,Wed,Introductory,2018,1,1,1,1,0,0,1,0
Fall,FEMALE,16,3.25,131,-0.044,13,Wed,Introductory,2020,0,5,1,1,0,0,1,0
Fall,FEMALE,15,3.6,129,0.15,14,Wed,Introductory,2018,0,20,0,1,0,0,1,0
Fall,FEMALE,17,4,150,0,15,Wed,Introductory,2018,0,37,0,1,0,0,1,0
Fall,FEMALE,19,4,133,0.031,16,Wed,Introductory,2019,0,3,1,1,0,0,1,0
Fall,MALE,16,3.187,119,0.497,17,Wed,Introductory,2017,0,8,0,1,0,0,1,0
Fall,MALE,16,3.25,123,-0.75,18,Wed,Introductory,2021,0,8,1,1,0,0,1,0
Fall,MALE,18,3.833,138,0.659,19,Wed,Introductory,2018,0,16,0,1,0,0,1,0
Fall,FEMALE,18,2.285,139,0.266,20,Wed,Introductory,2019,0,15,1,1,0,0,1,0
Fall,FEMALE,14,2.545,125,-0.318,21,Wed,Introductory,2018,0,27,0,1,0,0,1,0
Fall,FEMALE,17,4,137,0.514,20,Wed,Introductory,2020,0,14,1,1,0,0,1,0
Fall,MALE,15,3.666,123,0.096,21,Wed,Introductory,2020,0,60,1,0,0,0,1,0
Fall,MALE,16,2.875,0,-0.442,21,Wed,Introductory,2018,0,49,1,1,0,0,1,0
Fall,MALE,16,2.687,138,-0.335,22,Wed,Introductory,2018,0,61,0,1,0,0,1,0
Fall,FEMALE,15,3.8,122,0.093,23,Wed,Introductory,2019,0,6,1,1,0,0,1,0
Fall,FEMALE,16,3.562,127,0.392,22,Wed,Introductory,2018,0,1,0,0,0,0,1,0
Fall,MALE,16,3.375,128,0.55,21,Wed,Introductory,2020,0,1,1,1,0,0,1,0
Fall,FEMALE,19,3.769,125,-0.006,21,Wed,Introductory,2018,0,40,0,0,0,0,1,0
Fall,FEMALE,16,3.625,133,0.252,22,Wed,Introductory,2020,0,49,1,1,0,0,1,0
Fall,MALE,20,2.5,126,0.355,23,Wed,Introductory,2019,0,4,1,1,0,0,1,0
Fall,MALE,16,3.076,123,-0.041,23,Wed,Introductory,2020,0,33,1,1,0,0,1,0
Fall,MALE,16,3.25,122,0.406,24,Wed,Introductory,2020,0,24,1,1,0,0,1,0
Fall,MALE,16,3.437,123,0.104,25,Wed,Introductory,2020,0,14,1,1,0,0,1,0
Fall,MALE,16,3.769,107,0.15,26,Wed,Introductory,2021,0,45,1,1,0,0,1,0
Fall,FEMALE,17,4,124,0.439,26,Wed,Introductory,2020,0,7,1,0,0,0,1,0
Fall,FEMALE,16,2.538,60,0.16,27,Wed,Introductory,2021,0,1,1,0,0,0,1,0
Fall,FEMALE,16,2,39,0.048,28,Wed,Introductory,2017,1,1,0,0,0,0,1,0
Fall,FEMALE,12,1.5,24,0.306,29,Wed,Introductory,2018,1,1,0,0,0,0,1,0
Fall,FEMALE,12,2.666,143,-0.799,29,Wed,Introductory,2021,0,6,1,1,0,0,1,0
Fall,FEMALE,13,4,32,0.725,30,Wed,Introductory,2017,1,1,0,0,0,0,1,0
Fall,FEMALE,22,3.75,44,-0.031,30,Wed,Introductory,2017,1,3,0,1,0,0,1,0
Fall,MALE,13,4,145,0.616,28,Wed,Introductory,2020,0,20,1,1,0,0,1,0
Fall,FEMALE,19,3.187,129,-0.154,29,Wed,Introductory,2020,0,2,1,0,0,0,1,0
Fall,FEMALE,16,3.625,126,0.178,30,Wed,Introductory,2020,0,7,1,0,0,0,1,0
Fall,FEMALE,13,2.692,132,-0.189,31,Wed,Introductory,2020,0,5,1,0,0,0,1,0
Fall,FEMALE,12,3,130,-0.15,29,Wed,Intermediate,2018,0,19,0,0,0,0,1,0
Fall,MALE,19,3.625,126,0.131,22,Wed,Introductory,2018,0,42,0,1,0,0,0,1
Fall,MALE,16,3.307,125,0.094,22,Wed,Introductory,2018,0,31,0,1,0,0,0,1
Fall,FEMALE,19,2.75,100,0,17,Wed,Introductory,2018,1,2,1,0,0,0,0,1
Fall,FEMALE,16,2.666,143,-0.687,18,Wed,Graduate,2020,0,11,1,1,0,0,0,1
Fall,MALE,14,2.785,140,-0.215,17,Wed,Introductory,2018,0,1,0,1,0,0,0,1
Fall,MALE,17,3.529,145,-0.232,18,Wed,Introductory,2020,0,12,1,1,0,0,0,1
Fall,MALE,13,3.307,119,0.728,19,Wed,Introductory,2021,0,3,1,1,0,0,0,1
Fall,FEMALE,14,4,75,0,13,Wed,Introductory,2017,0,1,0,1,0,0,0,1
Fall,FEMALE,15,3.466,124,0.086,11,Wed,Introductory,2018,0,10,0,0,0,0,0,1
Fall,FEMALE,15,2.75,122,-0.439,12,Wed,Introductory,2018,0,7,0,0,0,0,0,1
Fall,MALE,18,3.666,159,-0.07,11,Wed,Introductory,2019,0,70,1,1,0,0,0,1
Fall,MALE,17,3.571,133,0.593,10,Wed,Introductory,2018,0,20,0,1,0,0,0,1
Fall,MALE,15,2.25,137,-0.472,11,Wed,Advanced,2018,0,29,0,0,0,0,0,1
Fall,FEMALE,12,3.25,144,0.025,11,Wed,Introductory,2018,0,9,0,1,0,0,0,1
Fall,MALE,3,0,136,-3.186,12,Wed,Introductory,2018,0,35,0,1,0,0,0,1
Fall,FEMALE,19,4,130,0.412,11,Wed,Introductory,2019,0,2,1,1,0,0,0,1
