Semester,Semester_Week,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Occupancy,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Group_Check_In,Total_Visits
Fall 2016,2,MALE,13,4,145,3.384,0.616,7,Wed,11,Introductory,2020,0,1,0,20
Fall 2016,2,MALE,15,2.25,124,2.822,-0.572,7,Wed,12,Introductory,2020,0,1,0,3
Fall 2016,2,FEMALE,13,3.076,132.5,3.38,-0.304,6,Wed,12,Intermediate,2018,0,1,0,11
Fall 2016,2,MALE,12,2,134,2.268,-0.268,6,Wed,12,Advanced,2020,0,3,1,4
Fall 2016,2,MALE,18,3.833,138,3.174,0.659,7,Wed,12,Introductory,2018,0,3,1,16
Fall 2016,2,FEMALE,21,3.562,150,3.633,-0.071,8,Wed,12,Introductory,2021,0,3,1,6
Fall 2016,2,FEMALE,15,3.666,125,3.681,-0.015,7,Wed,12,Introductory,2020,0,1,0,15
Fall 2016,2,FEMALE,12,2.5,89,3.317,-0.817,8,Wed,12,Introductory,2017,0,1,0,49
Fall 2016,2,MALE,17,3.529,145,3.761,-0.232,9,Wed,12,Introductory,2020,0,1,0,12
Fall 2016,2,MALE,12,3,94,2.786,0.214,6,Wed,13,Introductory,2018,0,1,0,1
Fall 2016,2,FEMALE,13,4,129,4,0,7,Wed,13,Introductory,2019,0,1,0,5
Fall 2016,2,MALE,12,2.333,129,3.138,-0.805,8,Wed,13,Introductory,2017,0,1,0,4
Fall 2016,2,MALE,17,3.647,123,3.287,0.36,9,Wed,13,Introductory,2019,0,1,0,14
Fall 2016,2,MALE,15,3.066,122,3.106,-0.04,9,Wed,14,Introductory,2020,0,1,0,1
Fall 2016,2,MALE,12,4,134,3.218,0.782,9,Wed,14,Advanced,2017,0,1,0,11
Fall 2016,2,FEMALE,16,3.307,130,2.664,0.643,9,Wed,14,Intermediate,2020,0,1,0,11
Fall 2016,2,FEMALE,19,3.25,141,3.647,-0.397,10,Wed,14,Intermediate,2018,0,1,0,6
Fall 2016,2,MALE,14,0,8,1.437,-1.437,11,Wed,14,Introductory,2017,1,1,0,26
Fall 2016,2,MALE,12,3,69,2.68,0.32,12,Wed,14,Introductory,2019,0,1,0,8
Fall 2016,2,FEMALE,12,1,79,2.535,-1.535,13,Wed,14,Introductory,2018,0,1,0,9
Fall 2016,2,MALE,12,2.25,136,2.72,-0.47,13,Wed,15,Introductory,2020,0,1,0,44
Fall 2016,2,MALE,18,3.666,159,3.736,-0.07,13,Wed,15,Introductory,2019,0,1,0,71
Fall 2016,2,MALE,12,3.166,33,1.806,1.36,12,Wed,15,Introductory,2018,1,1,0,1
Fall 2016,2,FEMALE,16,3.25,131,3.294,-0.044,13,Wed,15,Introductory,2020,0,2,1,5
Fall 2016,2,FEMALE,15,3.6,129,3.45,0.15,14,Wed,15,Introductory,2018,0,2,1,20
Fall 2016,2,FEMALE,17,4,150,4,0,15,Wed,15,Introductory,2018,0,1,0,37
Fall 2016,2,FEMALE,19,4,133,3.969,0.031,16,Wed,15,Introductory,2019,0,1,0,3
Fall 2016,2,MALE,16,3.187,119,2.69,0.497,17,Wed,15,Introductory,2017,0,2,1,8
Fall 2016,2,MALE,16,3.25,123,4,-0.75,18,Wed,15,Introductory,2021,0,2,1,8
Fall 2016,2,MALE,18,3.833,138,3.174,0.659,19,Wed,15,Introductory,2018,0,1,0,16
Fall 2016,2,FEMALE,18,2.285,139,2.019,0.266,20,Wed,15,Introductory,2019,0,1,0,15
Fall 2016,2,FEMALE,14,2.545,125,2.863,-0.318,21,Wed,15,Introductory,2018,0,1,0,27
Fall 2016,2,FEMALE,17,4,137,3.486,0.514,20,Wed,15,Introductory,2020,0,1,0,14
Fall 2016,2,MALE,15,3.666,123,3.57,0.096,21,Wed,15,Introductory,2020,0,1,0,60
Fall 2016,2,MALE,16,2.875,0,3.317,-0.442,21,Wed,15,Introductory,2018,0,2,1,49
Fall 2016,2,MALE,16,2.687,138,3.022,-0.335,22,Wed,15,Introductory,2018,0,2,1,62
Fall 2016,2,FEMALE,15,3.8,122,3.707,0.093,23,Wed,16,Introductory,2019,0,1,0,6
Fall 2016,2,FEMALE,16,3.562,127,3.17,0.392,22,Wed,16,Introductory,2018,0,1,0,1
Fall 2016,2,MALE,16,3.375,128,2.825,0.55,21,Wed,16,Introductory,2020,0,1,0,1
Fall 2016,2,FEMALE,19,3.769,125,3.775,-0.006,21,Wed,16,Introductory,2018,0,1,0,41
Fall 2016,2,FEMALE,16,3.625,133,3.373,0.252,22,Wed,16,Introductory,2020,0,1,0,49
Fall 2016,2,MALE,20,2.5,126,2.145,0.355,23,Wed,16,Introductory,2019,0,1,0,4
Fall 2016,2,MALE,16,3.076,123,3.117,-0.041,23,Wed,16,Introductory,2020,0,1,0,33
Fall 2016,2,MALE,16,3.25,122,2.844,0.406,24,Wed,16,Introductory,2020,0,3,1,24
Fall 2016,2,MALE,16,3.437,123,3.333,0.104,25,Wed,16,Introductory,2020,0,3,1,14
Fall 2016,2,MALE,16,3.769,107,3.619,0.15,26,Wed,16,Introductory,2021,0,3,1,45
Fall 2016,2,FEMALE,17,4,124,3.561,0.439,26,Wed,16,Introductory,2020,0,1,0,7
Fall 2016,2,FEMALE,16,2.538,60,2.378,0.16,27,Wed,16,Introductory,2021,0,2,1,1
Fall 2016,2,FEMALE,16,2,39,1.952,0.048,28,Wed,16,Introductory,2017,1,2,1,1
Fall 2016,2,FEMALE,12,1.5,24,1.194,0.306,29,Wed,16,Introductory,2018,1,1,0,1
Fall 2016,2,FEMALE,12,2.666,143,3.465,-0.799,29,Wed,16,Introductory,2021,0,2,1,6
Fall 2016,2,FEMALE,13,4,32,3.275,0.725,30,Wed,16,Introductory,2017,1,2,1,1
