Semester,Semester_Week,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Cumulative_GPA,Change_in_GPA,Day_of_Week,Hour_of_Day,Course_Level,Expected_Graduation_Yr,Underclassman,Group_Size,Total_Visits
Fall 2016,2,91,MALE,12,3.166,33,1.806,1.36,Wed,15,Introductory,2018,1,1,1
Fall 2016,2,92,FEMALE,16,3.25,131,3.294,-0.044,Wed,15,Introductory,2020,0,2,5
Fall 2016,2,92,FEMALE,15,3.6,129,3.45,0.15,Wed,15,Introductory,2018,0,2,20
Fall 2016,2,69,FEMALE,17,4,150,4,0,Wed,15,Introductory,2018,0,1,37
Fall 2016,2,156,FEMALE,19,4,133,3.969,0.031,Wed,15,Introductory,2019,0,1,3
Fall 2016,2,197,MALE,16,3.187,119,2.69,0.497,Wed,15,Introductory,2017,0,2,8
Fall 2016,2,76,MALE,16,3.25,123,4,-0.75,Wed,15,Introductory,2021,0,2,8
Fall 2016,2,115,MALE,18,3.833,138,3.174,0.659,Wed,15,Introductory,2018,0,1,16
Fall 2016,2,33,FEMALE,18,2.285,139,2.019,0.266,Wed,15,Introductory,2019,0,1,15
Fall 2016,2,63,FEMALE,14,2.545,125,2.863,-0.318,Wed,15,Introductory,2018,0,1,27
Fall 2016,2,119,FEMALE,17,4,137,3.486,0.514,Wed,15,Introductory,2020,0,1,14
Fall 2016,2,75,MALE,15,3.666,123,3.57,0.096,Wed,15,Introductory,2020,0,1,60
Fall 2016,2,139,MALE,16,2.875,0,3.317,-0.442,Wed,15,Introductory,2018,0,2,49
Fall 2016,2,122,MALE,16,2.687,138,3.022,-0.335,Wed,15,Introductory,2018,0,2,62
Fall 2016,2,45,FEMALE,15,3.8,122,3.707,0.093,Wed,16,Introductory,2019,0,1,6
Fall 2016,2,57,FEMALE,16,3.562,127,3.17,0.392,Wed,16,Introductory,2018,0,1,1
Fall 2016,2,35,MALE,16,3.375,128,2.825,0.55,Wed,16,Introductory,2020,0,1,1
Fall 2016,2,83,FEMALE,19,3.769,125,3.775,-0.006,Wed,16,Introductory,2018,0,1,41
Fall 2016,2,129,FEMALE,16,3.625,133,3.373,0.252,Wed,16,Introductory,2020,0,1,49
Fall 2016,2,25,MALE,20,2.5,126,2.145,0.355,Wed,16,Introductory,2019,0,1,4
Fall 2016,2,78,MALE,16,3.076,123,3.117,-0.041,Wed,16,Introductory,2020,0,1,33
Fall 2016,2,97,MALE,16,3.25,122,2.844,0.406,Wed,16,Introductory,2020,0,3,24
Fall 2016,2,97,MALE,16,3.437,123,3.333,0.104,Wed,16,Introductory,2020,0,3,14
Fall 2016,2,73,MALE,16,3.769,107,3.619,0.15,Wed,16,Introductory,2021,0,3,45
Fall 2016,2,56,FEMALE,17,4,124,3.561,0.439,Wed,16,Introductory,2020,0,1,7
Fall 2016,2,57,FEMALE,16,2.538,60,2.378,0.16,Wed,16,Introductory,2021,0,2,1
Fall 2016,2,52,FEMALE,16,2,39,1.952,0.048,Wed,16,Introductory,2017,1,2,1
Fall 2016,2,42,FEMALE,12,1.5,24,1.194,0.306,Wed,16,Introductory,2018,1,1,1
Fall 2016,2,69,FEMALE,12,2.666,143,3.465,-0.799,Wed,16,Introductory,2021,0,2,6
Fall 2016,2,99,FEMALE,13,4,32,3.275,0.725,Wed,16,Introductory,2017,1,2,1
Fall 2016,2,50,FEMALE,22,3.75,44,3.781,-0.031,Wed,16,Introductory,2017,1,1,3
Fall 2016,2,114,MALE,13,4,145,3.384,0.616,Wed,16,Introductory,2020,0,3,20
Fall 2016,2,80,FEMALE,19,3.187,129,3.341,-0.154,Wed,16,Introductory,2020,0,3,2
Fall 2016,2,85,FEMALE,16,3.625,126,3.447,0.178,Wed,16,Introductory,2020,0,3,7
Fall 2016,2,82,FEMALE,13,2.692,132,2.881,-0.189,Wed,16,Introductory,2020,0,1,5
Fall 2016,2,32,FEMALE,12,3,130,3.15,-0.15,Wed,16,Intermediate,2018,0,1,19
Fall 2016,2,165,MALE,19,3.625,126,3.494,0.131,Wed,17,Introductory,2018,0,1,42
Fall 2016,2,190,MALE,16,3.307,125,3.213,0.094,Wed,17,Introductory,2018,0,1,32
Fall 2016,2,60,FEMALE,19,2.75,100,2.75,0,Wed,17,Introductory,2018,1,1,2
Fall 2016,2,89,FEMALE,16,2.666,143,3.353,-0.687,Wed,17,Advanced,2020,0,1,11
Fall 2016,2,63,MALE,14,2.785,140,3,-0.215,Wed,17,Introductory,2018,0,1,1
Fall 2016,2,83,MALE,17,3.529,145,3.761,-0.232,Wed,17,Introductory,2020,0,1,12
Fall 2016,2,239,MALE,13,3.307,119,2.579,0.728,Wed,17,Introductory,2021,0,1,3
Fall 2016,2,47,FEMALE,14,4,75,4,0,Wed,18,Introductory,2017,0,1,1
Fall 2016,2,129,FEMALE,15,3.466,124,3.38,0.086,Wed,18,Introductory,2018,0,2,10
Fall 2016,2,129,FEMALE,15,2.75,122,3.189,-0.439,Wed,18,Introductory,2018,0,2,7
Fall 2016,2,195,MALE,18,3.666,159,3.736,-0.07,Wed,18,Introductory,2019,0,1,71
Fall 2016,2,67,MALE,17,3.571,133,2.978,0.593,Wed,18,Introductory,2018,0,1,20
Fall 2016,2,57,MALE,15,2.25,137,2.722,-0.472,Wed,19,Advanced,2018,0,1,29
Fall 2016,2,121,FEMALE,12,3.25,144,3.225,0.025,Wed,19,Introductory,2018,0,1,9
Fall 2016,2,96,MALE,3,0,136,3.186,-3.186,Wed,19,Introductory,2018,0,1,35
Fall 2016,2,72,FEMALE,19,4,130,3.588,0.412,Wed,19,Introductory,2019,0,1,2
Fall 2016,2,55,MALE,18,2.8,165,2.759,0.041,Wed,20,Introductory,2019,0,1,16
Fall 2016,2,37,FEMALE,16,3.769,129,3.577,0.192,Wed,20,Introductory,2020,0,2,30
Fall 2016,2,19,FEMALE,16,2.461,55,2.088,0.373,Wed,20,Introductory,2018,1,2,2
Fall 2016,2,50,FEMALE,15,4,131,4,0,Wed,20,Introductory,2020,0,1,4
Fall 2016,2,7,MALE,16,4,122,4,0,Wed,20,Introductory,2020,0,1,3
Fall 2016,2,26,MALE,16,2.687,137,2.948,-0.261,Wed,20,Intermediate,2018,0,1,7
Fall 2016,2,62,MALE,12,2.75,154,2.545,0.205,Wed,21,Introductory,2020,0,1,3
Fall 2016,2,47,FEMALE,18,4,127,4,0,Wed,21,Introductory,2021,0,1,20
Fall 2016,2,152,MALE,16,2.714,132,2.681,0.033,Thu,8,Introductory,2019,0,1,45
Fall 2016,2,58,FEMALE,19,4,133,3.969,0.031,Thu,9,Introductory,2019,0,1,3
Fall 2016,2,98,MALE,12,3,133,3.266,-0.266,Thu,9,Introductory,2019,0,1,16
Fall 2016,2,108,FEMALE,13,3.538,132,3.136,0.402,Thu,9,Intermediate,2018,0,1,1
Fall 2016,2,119,MALE,18,3.666,159,3.736,-0.07,Thu,10,Introductory,2019,0,1,71
Fall 2016,2,57,MALE,12,3.5,173,3.304,0.196,Thu,10,Introductory,2018,0,1,29
Fall 2016,2,133,MALE,14,2.428,134,2.8,-0.372,Thu,10,Introductory,2018,0,1,16
Fall 2016,2,149,FEMALE,13,2.1,126,2.822,-0.722,Thu,10,Introductory,2019,0,1,9
Fall 2016,2,150,MALE,13,2.846,132,2.472,0.374,Thu,10,Introductory,2019,0,1,6
Fall 2016,2,93,MALE,15,2.25,124,2.822,-0.572,Thu,11,Introductory,2020,0,1,3
Fall 2016,2,50,FEMALE,13,2.8,153,3.39,-0.59,Thu,11,Introductory,2020,0,1,1
Fall 2016,2,25,MALE,15,3.666,123,3.57,0.096,Thu,12,Introductory,2020,0,1,60
Fall 2016,2,113,FEMALE,15,3.8,127,3.537,0.263,Thu,12,Introductory,2019,0,1,1
Fall 2016,2,10,FEMALE,15,3.4,133,3,0.4,Thu,12,Intermediate,2018,0,1,2
Fall 2016,2,72,MALE,15,2.6,128,2.775,-0.175,Thu,12,Introductory,2018,0,1,1
Fall 2016,2,97,FEMALE,17,3,130,3.336,-0.336,Thu,12,Introductory,2018,0,2,26
Fall 2016,2,400,MALE,17,3.647,123,3.287,0.36,Thu,12,Introductory,2019,0,2,14
Fall 2016,2,75,FEMALE,24,3.4,153,3.431,-0.031,Thu,12,Introductory,2020,0,1,83
Fall 2016,2,117,FEMALE,15,3.666,125,3.681,-0.015,Thu,13,Introductory,2020,0,1,15
Fall 2016,2,131,MALE,3,0,136,3.186,-3.186,Thu,13,Introductory,2018,0,2,35
Fall 2016,2,67,FEMALE,15,3.2,125,3.341,-0.141,Thu,13,Introductory,2018,0,2,33
Fall 2016,2,22,FEMALE,15,4,137,4,0,Thu,13,Intermediate,2018,0,1,1
Fall 2016,2,113,FEMALE,15,3.8,148.27,3.76,0.04,Thu,13,Advanced,2018,0,1,8
Fall 2016,2,91,FEMALE,12,2.666,143,3.465,-0.799,Thu,13,Introductory,2021,0,1,6
Fall 2016,2,25,MALE,18,3.833,138,3.174,0.659,Thu,13,Introductory,2018,0,1,16
Fall 2016,2,10,FEMALE,17,3.571,147,3.632,-0.061,Thu,14,Introductory,2021,0,1,6
Fall 2016,2,129,FEMALE,19,3.176,133,3.701,-0.525,Thu,14,Introductory,2020,0,1,6
Fall 2016,2,16,MALE,15,3.6,122,3.68,-0.08,Thu,14,Intermediate,2019,0,2,31
Fall 2016,2,129,MALE,21,2.266,25,1.282,0.984,Thu,14,Introductory,2018,1,2,2
Fall 2016,2,43,MALE,16,3.3,27,2.791,0.509,Thu,14,Introductory,2017,1,1,6
Fall 2016,2,72,MALE,0,0,143,3.117,-3.117,Thu,14,Introductory,2018,0,1,11
Fall 2016,2,20,MALE,18,4,139,3.946,0.054,Thu,15,Introductory,2020,0,1,2
Fall 2016,2,32,MALE,16,3.437,123,2.991,0.446,Thu,15,Introductory,2019,0,1,36
Fall 2016,2,90,FEMALE,19,3.769,123,3.666,0.103,Thu,15,Introductory,2020,0,2,3
Fall 2016,2,125,FEMALE,18,3.666,134,3.911,-0.245,Thu,15,Introductory,2018,0,2,26
Fall 2016,2,93,FEMALE,13,3.23,35,3.068,0.162,Thu,15,Introductory,2017,1,1,10
Fall 2016,2,125,FEMALE,14,4,176,3.625,0.375,Thu,15,Introductory,2020,0,1,30
Fall 2016,2,81,FEMALE,16,3.062,128,3.201,-0.139,Thu,15,Introductory,2020,0,1,27
Fall 2016,2,93,MALE,17,2.647,122,2.915,-0.268,Thu,15,Introductory,2020,0,1,3
Fall 2016,2,7,FEMALE,13,2.769,125,3.464,-0.695,Thu,15,Introductory,2020,0,1,3
Fall 2016,2,118,MALE,13,3,125,2.615,0.385,Thu,15,Introductory,2018,0,1,1
Fall 2016,2,111,FEMALE,18,4,127,4,0,Thu,15,Introductory,2021,0,1,20
Fall 2016,2,72,FEMALE,17,3.117,124,4,-0.883,Thu,16,Introductory,2021,0,1,10
Fall 2016,2,59,FEMALE,17,2.764,132,3.026,-0.262,Thu,16,Advanced,2021,0,2,2
Fall 2016,2,60,FEMALE,13,2.1,59,2.6,-0.5,Thu,16,Advanced,2018,1,2,2
Fall 2016,2,90,FEMALE,12,3.166,125,2.947,0.219,Thu,16,Introductory,2018,0,1,18
Fall 2016,2,9,FEMALE,10,1.4,141,2.25,-0.85,Thu,16,Advanced,2021,0,1,8
Fall 2016,2,43,MALE,16,3.812,122,3.773,0.039,Thu,16,Introductory,2020,0,1,1
Fall 2016,2,60,MALE,16,3.625,140,3.769,-0.144,Thu,16,Other,2018,0,1,1
Fall 2016,2,102,MALE,14,3,138,2.699,0.301,Thu,16,Introductory,2019,0,1,8
Fall 2016,2,107,MALE,16,3.437,123,3.333,0.104,Thu,16,Introductory,2020,0,1,14
Fall 2016,2,81,MALE,16,3.25,122,2.844,0.406,Thu,16,Introductory,2020,0,2,24
Fall 2016,2,52,MALE,16,3.769,107,3.619,0.15,Thu,16,Introductory,2021,0,2,45
Fall 2016,2,80,MALE,16,3.076,123,3.117,-0.041,Thu,16,Introductory,2020,0,1,33
Fall 2016,2,50,FEMALE,12,3.666,139,3.204,0.462,Thu,16,Intermediate,2020,0,1,8
Fall 2016,2,156,FEMALE,20,4,41,3.916,0.084,Thu,17,Introductory,2017,1,1,19
Fall 2016,2,95,MALE,16,3.625,125,3.467,0.158,Thu,17,Introductory,2018,0,1,25
Fall 2016,2,34,FEMALE,12,2.666,143,3.465,-0.799,Thu,17,Introductory,2021,0,1,6
Fall 2016,2,125,MALE,10,2.333,139,2.924,-0.591,Thu,17,Intermediate,2018,0,1,33
Fall 2016,2,140,MALE,18,3.666,159,3.736,-0.07,Thu,17,Introductory,2019,0,1,71
Fall 2016,2,166,MALE,13,3.769,128,3.588,0.181,Thu,17,Introductory,2020,0,1,64
Fall 2016,2,52,MALE,15,2.75,147,2.328,0.422,Thu,18,Introductory,2020,0,1,4
Fall 2016,2,44,MALE,16,3.187,119,2.69,0.497,Thu,18,Introductory,2017,0,1,8
Fall 2016,2,155,FEMALE,16,2.875,134,3.178,-0.303,Thu,18,Introductory,2018,0,1,23
Fall 2016,2,153,MALE,16,2.687,138,3.022,-0.335,Thu,18,Introductory,2018,0,1,62
Fall 2016,2,39,MALE,17,3.117,132,2.913,0.204,Thu,18,Introductory,2020,0,1,42
Fall 2016,2,90,FEMALE,17,4,39,4,0,Thu,18,Introductory,2021,0,1,7
Fall 2016,2,74,FEMALE,15,3.2,126,3.324,-0.124,Thu,19,Introductory,2019,0,1,2
Fall 2016,2,10,MALE,11,2.6,162,3.017,-0.417,Thu,19,Introductory,2021,0,1,8
Fall 2016,2,120,FEMALE,16,3.375,122,3.553,-0.178,Thu,19,Introductory,2019,0,1,10
Fall 2016,2,148,MALE,12,2.666,133,2.636,0.03,Thu,19,Introductory,2018,0,1,17
Fall 2016,2,95,MALE,18,3.333,122,3.288,0.045,Thu,19,Introductory,2019,0,1,4
Fall 2016,2,83,MALE,16,4,124.5,3.112,0.888,Thu,19,Introductory,2020,0,3,1
Fall 2016,2,68,MALE,16,3.812,127,3.312,0.5,Thu,19,Introductory,2020,0,3,3
Fall 2016,2,92,MALE,13,3.538,122,3.378,0.16,Thu,19,Introductory,2020,0,3,5
Fall 2016,2,95,MALE,15,2.25,124,2.822,-0.572,Thu,19,Introductory,2020,0,1,3
