Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Total_Visits,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,26,MALE,18,3.333,122,0.045,Tue,Introductory,2019,0,4,1,1,0,0,0,1
Fall,27,FEMALE,16,3.062,128,-0.139,Tue,Introductory,2020,0,27,1,1,0,0,0,1
Fall,107,FEMALE,15,4,76,0,Tue,Introductory,2017,0,4,0,1,0,0,0,1
Fall,94,FEMALE,15,2.6,150,-0.42,Tue,Introductory,2018,0,12,0,0,0,0,0,1
Fall,53,MALE,12,2.75,154,0.205,Tue,Introductory,2020,0,3,1,1,0,0,0,1
Fall,44,MALE,15,3,139,0.308,Tue,Introductory,2020,0,10,1,1,0,0,0,1
Fall,19,FEMALE,13,4,129,0,Tue,Introductory,2019,0,5,1,1,0,0,0,1
Fall,32,MALE,16,3.538,129,-0.038,Wed,Introductory,2020,0,27,1,1,0,0,0,0
Fall,99,MALE,12,3,133,-0.266,Wed,Introductory,2019,0,16,1,1,0,0,0,0
Fall,86,FEMALE,6,2.5,105,-0.765,Wed,Intermediate,2017,0,5,0,0,1,0,0,0
Fall,145,FEMALE,15,4,76,0,Wed,Introductory,2017,0,4,0,1,0,0,0,0
Fall,74,MALE,17,2.882,126,0.032,Wed,Introductory,2020,0,23,1,1,0,0,0,0
Fall,33,FEMALE,16,2.875,123,0.217,Wed,Introductory,2020,0,25,1,1,0,0,0,0
Fall,69,MALE,14,2,133,-0.59,Wed,Introductory,2018,0,31,0,1,0,0,0,0
Fall,47,MALE,12,2.25,136,-0.47,Wed,Introductory,2020,0,44,1,1,0,0,0,0
Fall,64,FEMALE,18,4,13,0,Wed,Introductory,2019,1,7,1,1,0,0,0,0
Fall,64,MALE,12,3.75,122,0.154,Wed,Introductory,2020,0,1,1,1,0,0,0,0
Fall,24,MALE,16,3.625,125,0.158,Wed,Intermediate,2018,0,25,0,0,0,0,0,0
Fall,68,MALE,13,3.615,138,-0.201,Wed,Introductory,2020,0,26,1,1,0,0,0,0
Fall,28,FEMALE,16,3.166,127,-0.052,Wed,Graduate,2020,0,3,1,1,0,0,0,0
Fall,70,MALE,10,3.4,145,0.857,Wed,Introductory,2018,0,8,0,1,0,0,0,0
Fall,62,MALE,13,4,145,0.616,Wed,Introductory,2020,0,20,1,1,0,0,0,0
Fall,33,MALE,15,2.25,124,-0.572,Wed,Introductory,2020,0,3,1,1,0,0,1,0
Fall,52,FEMALE,13,3.076,132.5,-0.304,Wed,Intermediate,2018,0,11,0,0,1,0,1,0
Fall,119,MALE,12,2,134,-0.268,Wed,Advanced,2020,0,4,1,0,0,0,1,0
Fall,100,MALE,18,3.833,138,0.659,Wed,Introductory,2018,0,16,0,1,0,0,1,0
Fall,25,FEMALE,21,3.562,150,-0.071,Wed,Introductory,2021,0,6,1,1,0,0,1,0
Fall,258,FEMALE,15,3.666,125,-0.015,Wed,Introductory,2020,0,15,1,1,0,0,1,0
Fall,146,FEMALE,12,2.5,89,-0.817,Wed,Introductory,2017,0,47,0,1,0,0,1,0
Fall,87,MALE,17,3.529,145,-0.232,Wed,Introductory,2020,0,12,1,1,0,0,1,0
Fall,224,MALE,12,3,94,0.214,Wed,Introductory,2018,0,1,1,0,0,0,1,0
Fall,159,FEMALE,13,4,129,0,Wed,Introductory,2019,0,5,1,0,0,0,1,0
Fall,84,MALE,12,2.333,129,-0.805,Wed,Introductory,2017,0,3,0,1,0,0,1,0
Fall,65,MALE,17,3.647,123,0.36,Wed,Introductory,2019,0,13,1,1,0,0,1,0
Fall,103,MALE,15,3.066,122,-0.04,Wed,Introductory,2020,0,1,1,1,0,0,1,0
Fall,89,MALE,12,4,134,0.782,Wed,Advanced,2017,0,11,0,0,0,0,1,0
Fall,74,FEMALE,16,3.307,130,0.643,Wed,Intermediate,2020,0,11,1,0,1,0,1,0
Fall,23,FEMALE,19,3.25,141,-0.397,Wed,Intermediate,2018,0,6,0,0,0,0,1,0
Fall,86,MALE,14,0,8,-1.437,Wed,Introductory,2017,1,26,0,1,0,0,1,0
Fall,70,MALE,12,3,69,0.32,Wed,Introductory,2019,0,8,1,1,0,0,1,0
Fall,46,FEMALE,12,1,79,-1.535,Wed,Introductory,2018,0,9,1,1,0,0,1,0
Fall,147,MALE,12,2.25,136,-0.47,Wed,Introductory,2020,0,44,1,1,0,0,1,0
Fall,66,MALE,18,3.666,159,-0.07,Wed,Introductory,2019,0,70,1,1,0,0,1,0
Fall,90,MALE,12,3.166,33,1.36,Wed,Introductory,2018,1,1,1,1,0,0,1,0
Fall,92,FEMALE,16,3.25,131,-0.044,Wed,Introductory,2020,0,5,1,1,0,0,1,0
Fall,92,FEMALE,15,3.6,129,0.15,Wed,Introductory,2018,0,20,0,1,0,0,1,0
Fall,68,FEMALE,17,4,150,0,Wed,Introductory,2018,0,37,0,1,0,0,1,0
Fall,155,FEMALE,19,4,133,0.031,Wed,Introductory,2019,0,3,1,1,0,0,1,0
Fall,196,MALE,16,3.187,119,0.497,Wed,Introductory,2017,0,8,0,1,0,0,1,0
Fall,75,MALE,16,3.25,123,-0.75,Wed,Introductory,2021,0,8,1,1,0,0,1,0
Fall,114,MALE,18,3.833,138,0.659,Wed,Introductory,2018,0,16,0,1,0,0,1,0
Fall,33,FEMALE,18,2.285,139,0.266,Wed,Introductory,2019,0,15,1,1,0,0,1,0
Fall,63,FEMALE,14,2.545,125,-0.318,Wed,Introductory,2018,0,27,0,1,0,0,1,0
