Semester,Duration_In_Min,Gender,Term_Credit_Hours,Term_GPA,Total_Credit_Hours_Earned,Change_in_GPA,Occupancy,Day_of_Week,Course_Level,Expected_Graduation_Yr,Underclassman,Major_Indicated,MATH,STAT,Exams_Approaching,Afternoon,Evening
Fall,100,MALE,18,3.833,138,0.659,7,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,25,FEMALE,21,3.562,150,-0.071,8,Wed,Introductory,2021,0,1,1,0,0,1,0
Fall,258,FEMALE,15,3.666,125,-0.015,7,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,146,FEMALE,12,2.5,89,-0.817,8,Wed,Introductory,2017,0,0,1,0,0,1,0
Fall,87,MALE,17,3.529,145,-0.232,9,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,224,MALE,12,3,94,0.214,6,Wed,Introductory,2018,0,1,0,0,0,1,0
Fall,159,FEMALE,13,4,129,0,7,Wed,Introductory,2019,0,1,0,0,0,1,0
Fall,84,MALE,12,2.333,129,-0.805,8,Wed,Introductory,2017,0,0,1,0,0,1,0
Fall,65,MALE,17,3.647,123,0.36,9,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,103,MALE,15,3.066,122,-0.04,9,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,89,MALE,12,4,134,0.782,9,Wed,Advanced,2017,0,0,0,0,0,1,0
Fall,74,FEMALE,16,3.307,130,0.643,9,Wed,Intermediate,2020,0,1,0,1,0,1,0
Fall,23,FEMALE,19,3.25,141,-0.397,10,Wed,Intermediate,2018,0,0,0,0,0,1,0
Fall,86,MALE,14,0,8,-1.437,11,Wed,Introductory,2017,1,0,1,0,0,1,0
Fall,70,MALE,12,3,69,0.32,12,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,46,FEMALE,12,1,79,-1.535,13,Wed,Introductory,2018,0,1,1,0,0,1,0
Fall,147,MALE,12,2.25,136,-0.47,13,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,66,MALE,18,3.666,159,-0.07,13,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,90,MALE,12,3.166,33,1.36,12,Wed,Introductory,2018,1,1,1,0,0,1,0
Fall,92,FEMALE,16,3.25,131,-0.044,13,Wed,Introductory,2020,0,1,1,0,0,1,0
Fall,92,FEMALE,15,3.6,129,0.15,14,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,68,FEMALE,17,4,150,0,15,Wed,Introductory,2018,0,0,1,0,0,1,0
Fall,155,FEMALE,19,4,133,0.031,16,Wed,Introductory,2019,0,1,1,0,0,1,0
Fall,196,MALE,16,3.187,119,0.497,17,Wed,Introductory,2017,0,0,1,0,0,1,0
Fall,75,MALE,16,3.25,123,-0.75,18,Wed,Introductory,2021,0,1,1,0,0,1,0
